,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
1561,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0041,rp.session.radical.mturilli.017092.0005
1562,137.134699821,3995.3743,65.3294000626,0.0266001224518,0.328899860382,exp6,usatlas.bnl.gov,pilot.0042,rp.session.radical.mturilli.017092.0005
1563,402.669099808,3729.83990002,65.3294000626,0.0266001224518,0.328899860382,exp6,chtc.wisc.edu,pilot.0043,rp.session.radical.mturilli.017092.0005
1564,211.98059988,3383.55100012,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0044,rp.session.radical.mturilli.017092.0005
1565,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0045,rp.session.radical.mturilli.017092.0005
1566,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0046,rp.session.radical.mturilli.017092.0005
1567,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0047,rp.session.radical.mturilli.017092.0005
1568,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0048,rp.session.radical.mturilli.017092.0005
1569,212.541199923,3919.9677999,65.3294000626,0.0266001224518,0.328899860382,exp6,ucsd.edu,pilot.0049,rp.session.radical.mturilli.017092.0005
1570,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0050,rp.session.radical.mturilli.017092.0005
1571,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0051,rp.session.radical.mturilli.017092.0005
1572,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0052,rp.session.radical.mturilli.017092.0005
1573,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0053,rp.session.radical.mturilli.017092.0005
1574,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0054,rp.session.radical.mturilli.017092.0005
1575,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0055,rp.session.radical.mturilli.017092.0005
1576,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0056,rp.session.radical.mturilli.017092.0005
1577,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0057,rp.session.radical.mturilli.017092.0005
1578,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0058,rp.session.radical.mturilli.017092.0005
1579,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0059,rp.session.radical.mturilli.017092.0005
1580,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0060,rp.session.radical.mturilli.017092.0005
1581,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0061,rp.session.radical.mturilli.017092.0005
1582,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0062,rp.session.radical.mturilli.017092.0005
1583,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0063,rp.session.radical.mturilli.017092.0005
1584,346.637599945,3785.87139988,65.3294000626,0.0266001224518,0.328899860382,exp6,panther.net,pilot.0064,rp.session.radical.mturilli.017092.0005
